epoca,periodo,provincia,distrito_old,distrito,provincia_pcode,distrito_pcode,avisos,ocorrencia_,chuvas,ventos_fortes,descarga_atmosferica,data,pessoas_afectadas_,familias__afectadas_,pessoas_indirectamente_afectadas,familias_indirectamente_afectadas,feridos,obitos,obitos2,grupos_vulneraveis,casas_parcialmente_dest,casas_totalmente_destr,casas_inundadas,escolas_afectadas,salas_de_aulas_parcialmente_destruidas,salas_de_aulas_totalmente_destruidas,alunos_afectados,prof_afectados,casas_de_culto,unidades_sanitarias,hospital_parcialmente_destruidas,hospital_totalmente_destruidas,centro_de_saude_parcialmente_destruidas,postes_de_energia,rede_de_pesca,embarcacoes,posto_de_transformacao,posto_policial,pensoes_para_hospedagem,sistema_de_abastecimento_de_agua,area_afectada_ha,familias_afectadas,accoes_em_curso,observacoes
2017-2018,Novembro,Niassa,Ngauma,Ngauma,MZ09,MZ0114,n/a,Chuvas e ventos fortes,1,TRUE,0,11/12/2017,172,90,n/a,n/a,n/a,n/a,n/a,n/a,83,7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Dezembro,Niassa,Ngauma,Ngauma,MZ09,MZ0114,n/a,Chuvas e ventos fortes,1,TRUE,0,12/15/2017,533,105,533,105,n/a,n/a,n/a,n/a,65,40,n/a,1,2,2,360,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Fevereiro,Niassa,Ngauma,Ngauma,MZ09,MZ0114,n/a,Descarga atmosferica,0,FALSE,1,2/27/2018,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Sofala,Nhamatanda,Nhamatanda,MZ07,MZ0713,n/a,Chuvas e ventos fortes,1,TRUE,0,12/17/2016,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Sofala,Nhamatanda,Nhamatanda,MZ07,MZ0713,n/a,Chuvas e ventos fortes,1,TRUE,0,12/25/2016,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Sofala,Nhamatanda,Nhamatanda,MZ07,MZ0713,n/a,Inundades,0,FALSE,0,1/22/2017,6785,1357,n/a,n/a,n/a,n/a,n/a,n/a,n/a,785,955,2,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Dezembro,Sofala,Nhamatanda,Nhamatanda,MZ09,MZ0713,n/a,Chuvas fortes,1,FALSE,0,12/26/2017,40,8,n/a,4,n/a,2,n/a,n/a,n/a,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Fevereiro,Sofala,Nhamatanda,Nhamatanda,MZ09,MZ0713,n/a,Chuvas e ventos fortes,1,TRUE,0,2/19/2018,495,99,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,96,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2018-2019,Marco,Sofala,Nhamatanda,Nhamatanda,n/a,n/a,n/a,Ciclone,n/a,n/a,n/a,3/14/2019,273676,54409,n/a,n/a,118,n/a,132,n/a,19070,20271,n/a,105,540,n/a,68863,1140,122,13,n/a,n/a,n/a,5,n/a,n/a,n/a,n/a,n/a,60,113252,35294,n/a,n/a
2017-2018,Abril,Cabo_Delgado,Palma,Palma,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4/18/2018,2500,500,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,500,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Inhambane,Panda,Panda,MZ08,MZ0812,n/a,Chuvas e ventos fortes,1,TRUE,0,12/25/2016,20,4,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Inhambane,Panda,Panda,MZ08,MZ0812,n/a,Ciclone,0,FALSE,0,2/15/2017,2570,595,n/a,n/a,n/a,n/a,n/a,n/a,300,284,n/a,n/a,n/a,28,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Novembro,Zambezia,Pebane,Pebane,MZ09,MZ0422,n/a,Queimadas descontroladas,0,FALSE,0,11/6/2017,95,19,n/a,n/a,n/a,n/a,n/a,n/a,5,14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Novembro,Zambezia,Pebane,Pebane,MZ09,MZ0422,n/a,Vendaval,0,FALSE,0,11/9/2017,70,14,n/a,n/a,n/a,n/a,n/a,n/a,14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Novembro,Cabo_Delgado,Pemba,Cidade de Pemba,MZ09,MZ0217,n/a,Chuvas fortes,1,FALSE,0,11/30/2017,15,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Cabo_Delgado,Pemba,Cidade de Pemba,MZ09,MZ0217,n/a,Chuvas e ventos fortes,1,TRUE,0,1/19/2018,475,95,n/a,n/a,n/a,n/a,n/a,n/a,5,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Cabo_Delgado,Quissanga,Quissanga,MZ02,MZ0218,n/a,Chuvas e ventos fortes,1,TRUE,0,1/26/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,121,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Cabo_Delgado,Quissanga,Quissanga,MZ09,MZ0218,n/a,Chuvas e ventos fortes,1,TRUE,0,1/29/2018,20,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Abril,Cabo_Delgado,Quissanga,Quissanga,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4/15/2018,20,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Rapale,Rapale,MZ03,MZ0323,n/a,Chuvas e ventos fortes,1,TRUE,0,12/4/2016,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Nampula,Rapale,Rapale,MZ09,MZ0323,n/a,Chuvas e ventos fortes,1,TRUE,0,1/15/2018,2165,433,n/a,n/a,n/a,n/a,n/a,n/a,319,114,n/a,n/a,13,4,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Ribaue,Ribaue,MZ03,MZ0324,n/a,Chuvas fortes,1,FALSE,0,2/6/2017,5,1,n/a,n/a,1,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Ribaue,Ribaue,MZ03,MZ0324,n/a,Chuvas fortes,1,FALSE,0,2/17/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Outubro,Nampula,Ribaue,Ribaue,MZ09,MZ0324,n/a,Ventos fortes,0,TRUE,0,10/14/2017,20,4,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Nampula,Ribaue,Ribaue,MZ09,MZ0324,n/a,Chuvas e ventos fortes,1,TRUE,0,1/15/2018,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,317,n/a,n/a,n/a,n/a,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Niassa,Sanga,Sanga,MZ01,MZ0116,n/a,Chuvas e ventos fortes,1,TRUE,0,1/4/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Novembro,Niassa,Sanga,Sanga,MZ09,MZ0116,n/a,Chuvas e ventos fortes,1,TRUE,0,11/20/2017,35,7,n/a,n/a,n/a,n/a,n/a,n/a,7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Manica,Sussundenga,Sussundenga,MZ06,MZ0610,n/a,Chuvas e ventos fortes,1,TRUE,0,11/14/2016,180,36,n/a,n/a,n/a,n/a,n/a,n/a,22,14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Outubro,Manica,Sussundenga,Sussundenga,MZ09,MZ0610,n/a,Chuvas e ventos fortes,1,TRUE,0,10/10/2017,100,20,n/a,n/a,n/a,n/a,n/a,n/a,20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Fevereiro,Manica,Sussundenga,Sussundenga,MZ09,MZ0610,n/a,Chuvas e ventos fortes,1,TRUE,0,2/21/2018,115,23,n/a,n/a,n/a,n/a,n/a,n/a,n/a,23,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2018-2019,Marco,Manica,Sussundenga,Sussundenga,n/a,n/a,n/a,Ciclone,n/a,n/a,n/a,3/14/2019,124381,26737,n/a,n/a,n/a,n/a,164,n/a,9274,17660,n/a,39,8,42,5000,50,n/a,1,n/a,n/a,n/a,5,n/a,n/a,n/a,n/a,n/a,64,108565,13469,n/a,n/a
2018-2019,Marco,Tete,Tsangano,Tsangano,MZ05,MZ0514,n/a,Depressao tropical,0,FALSE,0,3/6/2019,18475,3695,n/a,n/a,9,1,1,n/a,n/a,3695,n/a,10,21,n/a,1437,n/a,25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,197,n/a,n/a
2017-2018,Outubro,Manica,Vanduzi,Vanduzi,MZ09,MZ0612,n/a,Chuvas e ventos fortes,1,TRUE,0,10/10/2017,1150,230,n/a,n/a,n/a,n/a,n/a,n/a,145,85,n/a,n/a,20,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2018-2019,Marco,Manica,Vanduzi,Vanduzi,n/a,n/a,n/a,Ciclone,n/a,n/a,n/a,3/15/2019,3993,621,n/a,n/a,8,n/a,2,n/a,n/a,1529,n/a,13,3,33,1394,36,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,39154,7830,n/a,n/a
2016-2017,n/a,Inhambane,Vilankulo,Vilankulo,MZ08,MZ0813,n/a,Ciclone,0,FALSE,0,2/15/2017,675,135,n/a,n/a,n/a,n/a,n/a,n/a,8,n/a,n/a,n/a,n/a,13,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Dezembro,Inhambane,Vilankulo,Vilankulo,MZ09,MZ0813,n/a,Chuvas e ventos fortes,1,TRUE,0,12/14/2017,1370,274,n/a,n/a,n/a,n/a,n/a,n/a,257,17,n/a,4,9,5,1600,n/a,n/a,n/a,n/a,n/a,n/a,21,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Fevereiro,Inhambane,Vilankulo,Vilankulo,MZ09,MZ0813,n/a,Chuvas fortes,1,FALSE,0,2/25/2018,55,11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2018-2019,Marco,Inhambane,Vilankulo,Vilankulo,n/a,n/a,n/a,Ciclone,n/a,n/a,n/a,3/14/2019,55,11,n/a,n/a,n/a,n/a,n/a,n/a,11,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Gaza,Xai-Xai,Xai - Xai,MZ09,MZ0912,n/a,Chuvas e ventos fortes,1,TRUE,0,10/24/2016,22220,7055,n/a,n/a,2,n/a,n/a,n/a,2939,6253,n/a,n/a,127,140,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Gaza,Xai-Xai,Xai - Xai,MZ09,MZ0912,n/a,Chuvas fortes,1,FALSE,0,11/11/2016,n/a,n/a,n/a,n/a,8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Gaza,Xai-Xai,Xai - Xai,MZ09,MZ0912,n/a,Chuvas fortes,1,FALSE,0,1/16/2017,1780,356,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,355,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Gaza,Xai-Xai,Xai - Xai,MZ09,MZ0912,n/a,Inundades,0,FALSE,0,3/3/2017,1106,221,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Inhambane,Zavala,Zavala,MZ08,MZ0814,n/a,Ciclone,0,FALSE,0,2/15/2017,44000,8800,n/a,n/a,n/a,n/a,n/a,n/a,19,n/a,n/a,n/a,n/a,20,n/a,n/a,n/a,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Tete,Zumbu,Zumbo,MZ05,MZ0515,n/a,Chuvas fortes,1,FALSE,0,11/15/2016,10,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Tete,Zumbu,Zumbo,MZ05,MZ0515,n/a,Chuvas e ventos fortes,1,TRUE,0,11/25/2016,170,34,n/a,n/a,n/a,n/a,n/a,n/a,30,4,n/a,1,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Tete,Zumbu,Zumbo,MZ05,MZ0515,n/a,Chuvas e ventos fortes,1,TRUE,0,12/5/2016,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Novembro,Tete,Zumbu,Zumbo,MZ09,MZ0515,n/a,Chuvas e ventos fortes,1,TRUE,0,11/23/2017,2,1,n/a,n/a,2,1,1,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Fevereiro,Tete,Zumbu,Zumbo,MZ09,MZ0515,n/a,Chuvas e ventos fortes,1,TRUE,0,2/13/2018,80,18,n/a,n/a,n/a,n/a,n/a,n/a,15,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2018-2019,Marco,Tete,Zumbu,Zumbo,n/a,n/a,n/a,Ciclone,n/a,n/a,n/a,3/15/2019,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,260,264,n/a,n/a
