epoca,periodo,provincia,distrito,provincia_pcode,distrito_pcode,avisos,ocorrencia_,chuvas,ventos_fortes,descarga_atmosferica,data,pessoas_afectadas_,familias__afectadas_,pessoas_indirectamente_afectadas,familias_indirectamente_afectadas,feridos,obitos,obitos2,grupos_vulneraveis,casas_parcialmente_dest,casas_totalmente_destr,casas_inundadas,escolas_afectadas,salas_de_aulas_parcialmente_destruidas,salas_de_aulas_totalmente_destruidas,alunos_afectados,prof_afectados,casas_de_culto,unidades_sanitarias,hospital_parcialmente_destruidas,hospital_totalmente_destruidas,centro_de_saude_parcialmente_destruidas,postes_de_energia,rede_de_pesca,embarcacoes,posto_de_transformacao,posto_policial,pensoes_para_hospedagem,sistema_de_abastecimento_de_agua,area_afectada_ha,familias_afectadas,accoes_em_curso,observacoes
2016-2017,,Zambezia,Ile,MZ04,MZ0407,n/a,Descarga atmosferica,0,FALSE,1,2016-11-19,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Zambezia,Ile,MZ04,MZ0407,n/a,Ventos fortes,0,TRUE,0,2016-10-30,0,0,0,0,0,0,0,0,19,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Zambezia,Gurue,MZ04,MZ0406,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-05-12,270,54,0,0,0,0,0,0,54,0,0,4,4,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Zambezia,Mocuba,MZ04,MZ0413,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-07-12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Nampula,Mecuburi,MZ03,MZ0310,n/a,Ventos fortes,0,TRUE,0,2016-11-18,200,40,0,0,0,0,0,0,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Nampula,Erati,MZ03,MZ0303,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-02-12,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Nampula,Rapale,MZ03,MZ0323,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Nampula,Monapo,MZ03,MZ0315,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-03-12,1640,328,0,0,2,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Nampula,Mecuburi,MZ03,MZ0310,n/a,Ventos fortes,0,TRUE,0,2016-07-12,1025,205,0,0,0,0,0,0,205,0,0,0,18,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Niassa,Maua,MZ01,MZ0108,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-10-28,141,28,0,0,2,0,0,0,28,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Niassa,Majune,MZ01,MZ0105,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-01-11,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Niassa,Mandimba,MZ01,MZ0106,n/a,Ventos fortes,0,TRUE,0,2016-11-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Niassa,Mandimba,MZ01,MZ0106,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-04-12,150,30,0,0,4,0,0,0,22,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Niassa,Lago,MZ01,MZ0104,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-04-12,100,20,0,0,0,0,0,0,20,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Sofala,Dondo,MZ07,MZ0707,n/a,Chuvas fortes,1,FALSE,0,2016-12-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Sofala,Chemba,MZ07,MZ0704,n/a,Chuvas fortes,1,FALSE,0,2016-12-17,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Sofala,Nhamatanda,MZ07,MZ0713,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-12-17,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Sofala,Marromeu,MZ07,MZ0711,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-12-18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Maputo,Moamba,MZ10,MZ1007,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,2016-12-24,430,86,0,0,0,0,0,0,21,65,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Maputo,Magude,MZ10,MZ1003,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,2016-12-24,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Maputo,Namaacha,MZ10,MZ1008,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,2016-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Manica,Cidade de Chimoio,MZ06,MZ0601,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,2016-12-24,10,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Gaza,Chokwe,MZ09,MZ0906,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,2016-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Gaza,Massingir,MZ09,MZ0911,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,2016-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Gaza,Chonguene,MZ09,MZ0913,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,2016-12-24,110,23,0,0,0,0,0,0,22,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Gaza,Chibuto,MZ09,MZ0903,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,2016-12-24,125,25,0,0,0,0,0,0,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Gaza,Mandlakaze,MZ09,MZ0909,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,2016-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Niassa,Mandimba,MZ01,MZ0106,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-12-25,164,47,0,0,2,0,0,0,0,47,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Sofala,Nhamatanda,MZ07,MZ0713,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-12-25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Niassa,Chimbunila,MZ01,MZ0102,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-12-22,555,111,0,0,2,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Maputo Cidade,KaMavota,MZ11,MZ1104,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,2016-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Cabo Delgado,Montepuez,MZ02,MZ0211,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-12-26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Gaza,Guija,MZ09,MZ0907,062/INAM-DAPT/999/2016,Chuvas fortes,1,FALSE,0,2016-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
