period,posto,population,Posto
2018,Nacaroa,72886,NACAROA
2007,Nacumua,10515,NACUMUA
2018,Nacumua,43791,NACUMUA
2007,Nairoto,8582,NAIROTO
2018,Nairoto,11820,NAIROTO
2007,Nairrubi,2989,NAIRRUBI
2018,Nairrubi,4814,NAIRRUBI
2007,Nalazi,11059,NALAZI
2018,Nalazi,16222,NALAZI
2007,Namaacha,28416,NAMAACHA
2018,Namaacha,41161,NAMAACHA
2007,Namacurra,94693,NAMACURRA
2018,Namacurra,169927,NAMACURRA
2007,Namaita,52464,NAMAITA
2018,Namaita,97291,NAMAITA
2007,Namanhumbir,22245,NAMANHUMBIR
2018,Namanhumbir,30638,NAMANHUMBIR
2007,Namajavira,44122,NAMANJAVIRA
2018,Namajavira,70203,NAMANJAVIRA
2007,Namapa,111320,NAMAPA
2018,Namapa,157914,NAMAPA
2007,Namaponda,37122,NAMAPONDA
2018,Namaponda,51272,NAMAPONDA
2007,Namarroi,89053,NAMARROI
2018,Namarroi,119963,NAMARROI
2007,Nametil Sede,91397,NAMETIL
2018,Nametil Sede,200610,NAMETIL
2007,Namialo,50470,NAMIALO
2018,Namialo,74600,NAMIALO
2007,Naminge,44117,NAMIGE
2018,Naminge,68171,NAMIGE
2007,Namina,30286,NAMINA
2018,Namina,42276,NAMINA
2007,Namiroa,57177,NAMIROA
2018,Namiroa,81109,NAMIROA
2007,Namogelia,24883,NAMOGELIA
2018,Namogelia,31836,NAMOGELIA
2007,Namuno - Sede,75896,NAMUNO
2018,Namuno - Sede,104584,NAMUNO
2007,Nangade,35553,NANGADE
2018,Nangade,46165,NANGADE
2007,Nanhupo,38160,NANHUPO RIO
2018,Nanhupo,83758,NANHUPO RIO
2007,Nante,64008,NANTE
2018,Nante,80801,NANTE
2007,Nauela,88350,NAUELA
2018,Nauela,155128,NAUELA
2007,Ncumpe,30024,N'CUMPE
2018,Ncumpe,41373,N'CUMPE
2007,Ndelane,3298,NDELANE
2018,Ndelane,3975,NDELANE
2007,Negomano,2341,NEGOMANO
2018,Negomano,2940,NEGOMANO
2007,Netia,111021,NETIA
2018,Netia,164865,NETIA
2007,N'gapa,30803,N'GAPA
2018,N'gapa,38687,N'GAPA
2007,Nguawala,2250,NGUAWALA
2018,Nguawala,6077,NGUAWALA
2007,Nguzene,18106,NGUZENE
2018,Nguzene,21352,NGUZENE
2007,Nhacafula,7696,NHACAFULA
2018,Nhacafula,12501,NHACAFULA
2007,Nhacolo,24345,NHACOLO
2018,Nhacolo,39543,NHACOLO
2007,Nhamadzi,30937,NHAMADZE
2018,Nhamadzi,54867,NHAMADZE
2007,Nhamangua,13984,NHAMAGUA
2018,Nhamangua,37767,NHAMAGUA
2007,Nhamassonge,8452,NHAMASSONGE
2018,Nhamassonge,15114,NHAMASSONGE
2007,Nhamatanda,139482,NHAMATANDA
2018,Nhamatanda,246891,NHAMATANDA
2007,Nhamayabue,40493,NHAMAYABUE
2018,Nhamayabue,69185,NHAMAYABUE
2007,Nhampassa,33006,NHAMPASSA
2018,Nhampassa,83894,NHAMPASSA
2007,Nicoadala,121955,NICOADALA
2018,Nicoadala,149549,NICOADALA
2007,Nihessiue,30187,NIHESSIUE
2018,Nihessiue,45391,NIHESSIUE
2007,Nipepe,20392,NIPEPE
2018,Nipepe,30453,NIPEPE
2007,Nova Mambone,18634,NOVA MAMBONE
2018,Nova Mambone,26723,NOVA MAMBONE
2007,Nsadzo,19601,NSADZU
2018,Nsadzo,50218,NSADZU
2007,Ntengo-Wambalame,113882,NTENGO-WA-MBALAME
2018,Ntengo-Wambalame,194806,NTENGO-WA-MBALAME
2007,Ntlavene,8891,NTLAVENE
2018,Ntlavene,12301,NTLAVENE
2007,Nungo,5747,NUNGO
2018,Nungo,9005,NUNGO
2007,Ocua,45808,OCUA
2018,Ocua,58609,OCUA
2007,Olumbe,38216,OLUMBI
