,OBJECTID,,LC_PRI,LC_SEC,LC_TER,NOTE_,AUTOR,LC_PRI_PER,LC_SEC_PER,LC_TER_PER,HECTARES,POLY_ID,OBJECTID_1,LC_PRI_1,LC_DESCRIP,RECLASS1,RECLASS2
1447,USE1447,,2FD,2SL,,Derived from provincial land cover database,1,3,2,0,7016,18293,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1475,USE1475,,2FD,2FE,,,7,3,2,0,81550,14577,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1498,USE1498,,2FD,,,,7,5,0,0,3856,2956,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1504,USE1504,,2FD,,,,6,5,0,0,10373,8089,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1515,USE1515,,2FD,,,,2,5,0,0,16253,11719,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1516,USE1516,,2FD,,,,2,5,0,0,7484,11725,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1530,USE1530,,2FD,,,,2,5,0,0,1480,18050,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1533,USE1533,,2FD,2SL,,,7,3,2,0,3044,4342,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1542,USE1542,,2FD,,,Derived from provincial land cover database,1,5,0,0,11937,17409,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1560,USE1560,,2FD,4FF,,,7,4,1,0,2613,21762,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1570,USE1570,,2FD,2FE,,,7,3,2,0,8126,11157,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1600,USE1600,,2FD,2SL,,,2,3,2,0,4076,22647,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1609,USE1609,,2FD,,,,3,5,0,0,2242,18935,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1616,USE1616,,2FD,2FE,,Derived from provincial land cover database,1,4,1,0,1953,18351,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1618,USE1618,,2FD,2WD,,,3,4,1,0,9414,20868,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1632,USE1632,,2FD,6BA,,,4,4,1,0,11842,7287,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1634,USE1634,,2FD,2WD,,Derived from provincial land cover database,1,3,2,0,2052,18456,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1659,USE1659,,2FD,,,,8,5,0,0,12418,4916,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
